name,sector,years,funding,text
Elio Motors,Manufacturing,2009-2020,$30M,"company elio motors. sector manufacturing. what they did cheap threewheeled car. why they failed lost to toyotahonda and delays. lesson cheap cars need delivery. causes: giants, competition, execution_flaws"
Essential Products,Manufacturing,2015-2020,$330M,"company essential products. sector manufacturing. what they did premium smartphones. why they failed poor sales vs applesamsung. lesson smartphone giants are unbeatable. causes: giants, no_budget, competition, overhype"
Faraday Future,Manufacturing,2014-2023,$3.5B,"company faraday future. sector manufacturing. what they did luxury electric vehicles. why they failed mismanagement and teslarivian competition. lesson ev hype needs execution. causes: giants, no_budget, competition, execution_flaws, overhype"
Fisker Automotive,Manufacturing,2007-2013,$1.4B,"company fisker automotive. sector manufacturing. what they did luxury hybridelectric cars. why they failed lost to tesla and supplier failure. lesson luxury evs need reliability. causes: giants, no_budget, competition, platform_dependency, execution_flaws"
GoPro Karma,Manufacturing,2015-2018,$200M,"company gopro karma. sector manufacturing. what they did consumer drone. why they failed lost to dji and recall issues. lesson drones need perfection. causes: giants, competition, execution_flaws"
Hello,Manufacturing,2012-2017,$40M,"company hello. sector manufacturing. what they did sleeptracking orb. why they failed lost to fitbitapple watch. lesson sleep tech must be wearable. causes: giants, competition, trend_shifts"
Jawbone,Manufacturing,2006-2017,$930M,"company jawbone. sector manufacturing. what they did fitness trackersspeakers. why they failed competition and quality issues. lesson fitness hardware needs quality. causes: giants, competition, trend_shifts"
Juicero,Manufacturing,2013-2017,$120M,"company juicero. sector manufacturing. what they did wifi juicer. why they failed overkill product vs ninjabreville. lesson hardware must solve real problems. causes: giants, no_budget, competition, execution_flaws, trend_shifts"
Light,Manufacturing,2013-2020,$70M,"company light. sector manufacturing. what they did multilens camera. why they failed smartphones caught up. lesson cameras cant outrun trends. causes: giants, no_budget, competition, trend_shifts"
Lily Robotics,Manufacturing,2013-2017,$15M+$34M pre-orders,"company lily robotics. sector manufacturing. what they did selfflying drone camera. why they failed couldnt deliver vs dji. lesson dont overpromise hardware. causes: giants, no_budget, competition, execution_flaws, overhype"
Lytro,Manufacturing,2006-2018,$200M,"company lytro. sector manufacturing. what they did lightfield cameras. why they failed smartphones matched it vs canonnikon. lesson cameras cant beat smartphones. causes: giants, no_budget, competition, trend_shifts"
MakerBot,Manufacturing,2009-2017,$10M+$403M acquisition,"company makerbot. sector manufacturing. what they did desktop 3d printers. why they failed lost to ultimakerprusa postacquisition. lesson 3d printing needs precision. causes: giants, competition, acquisition_stagnation, execution_flaws"
Osmo Systems,Manufacturing,2013-2020,$3M,"company osmo systems. sector manufacturing. what they did iot water sensors. why they failed niche market vs hach. lesson iot needs a big niche. causes: giants, competition, poor_market_fit, niche_limits"
Pearl Automation,Manufacturing,2014-2017,$50M,"company pearl automation. sector manufacturing. what they did car rearview cameras. why they failed lost to teslaford builtins. lesson auto tech must beat oems. causes: giants, competition, poor_market_fit"
Pebble,Manufacturing,2012-2016,$40M,"company pebble. sector manufacturing. what they did smartwatches. why they failed lost to apple watch and sold. lesson smartwatches need ecosystems. causes: giants, competition, acquisition_stagnation"
Quanergy,Manufacturing,2012-2022,$160M,"company quanergy. sector manufacturing. what they did lidar for autonomous vehicles. why they failed lost to velodyneluminar and delays. lesson lidar needs booming market. causes: giants, no_budget, competition"
Rethink Robotics,Manufacturing,2008-2018,$150M,"company rethink robotics. sector manufacturing. what they did collaborative robots. why they failed lost to universal robotsfanuc. lesson robotics demands roi. causes: giants, no_budget, competition"
Skully Helmets,Manufacturing,2013-2016,$15M,"company skully helmets. sector manufacturing. what they did ar motorcycle helmets. why they failed mismanagement and no product vs nolanshoei. lesson ar needs execution. causes: giants, no_budget, competition, execution_flaws, overhype"
Thalmic Labs,Manufacturing,2012-2020,$135M,"company thalmic labs. sector manufacturing. what they did gesturecontrol armband. why they failed lost to leap motionoculus and sold. lesson wearables need a killer app. causes: giants, competition, acquisition_stagnation"
Zume,Manufacturing,2015-2023,$375M,"company zume. sector manufacturing. what they did robotic pizza systems. why they failed high costs vs dominospapa johns. lesson food tech needs efficiency. causes: giants, no_budget, competition"
99dresses,Retail Trade,3 (2010-2013),$0.5M,"company 99dresses. sector retail trade. what they did fashion swapping app. why they failed shut down 2013 low retention funding fell through. lesson retention is king. causes: no_budget, poor_market_fit, niche_limits"
Ahalife,Retail Trade,7 (2010-2017),$20M,"company ahalife. sector retail trade. what they did curated luxury goods marketplace. why they failed closed 2017 high marketing costs lost to amazon. lesson niche doesnt defend. causes: giants, competition, monetization_failure, niche_limits"
AllRomance,Retail Trade,10 (2006-2016),$1M,"company allromance. sector retail trade. what they did ebook retailer for romance novels. why they failed closed 2016 financial losses lost to kindle. lesson adapt or die. causes: giants, no_budget, monetization_failure, execution_flaws"
Auctionata,Retail Trade,6 (2012-2018),$95M,"company auctionata. sector retail trade. what they did online auction house for art and luxury. why they failed shut down 2018 high costs lost to ebay valuation scandal. lesson trust and economics matter. causes: giants, competition, execution_flaws, toxicity/trust_issues"
Augury Books,Retail Trade,5 (2012-2017),$0.5M,"company augury books. sector retail trade. what they did indie ecommerce bookstore for poetry. why they failed closed 2017 couldnt scale lost to amazon. lesson niche retail bleeds. causes: giants, no_budget, niche_limits"
Beepi,Retail Trade,4 (2013-2017),$150M,"company beepi. sector retail trade. what they did peertopeer used car marketplace. why they failed shut down 2017 high shipping costs cash burned out. lesson costs can kill. causes: giants, no_budget, monetization_failure, execution_flaws"
Boxed,Retail Trade,8 (2013-2021),$326M,"company boxed. sector retail trade. what they did bulk ecommerce platform. why they failed bankruptcy 2021 lost to amazon high shipping costs. lesson scale trumps convenience. causes: giants, competition, monetization_failure"
BurstIQ,Retail Trade,7 (2015-2022),$5.8M,"company burstiq. sector retail trade. what they did blockchain health data marketplace. why they failed faded 2022 low adoption lost to data brokers. lesson tech alone doesnt sell. causes: competition, poor_market_fit, niche_limits, regulatory_pressure"
Carwoo,Retail Trade,6 (2009-2015),$15M,"company carwoo. sector retail trade. what they did online carbuying platform. why they failed closed 2015 dealers resisted cash ran dry. lesson resistance stalls disruption. causes: no_budget, competition"
Catelyn,Retail Trade,3 (2015-2018),$2M,"company catelyn. sector retail trade. what they did subscription jewelry rental service. why they failed shut down 2018 low demand lost to stitch fix. lesson niche needs traction. causes: competition, poor_market_fit, niche_limits"
Chinictown,Retail Trade,4 (2013-2017),$1M,"company chinictown. sector retail trade. what they did ecommerce for chinese gadgets. why they failed closed 2017 lost to amazon shipping delays. lesson speed beats novelty. causes: giants, no_budget, monetization_failure"
Combatant Gentlemen,Retail Trade,8 (2012-2020),$35M,"company combatant gentlemen. sector retail trade. what they did online menswear brand. why they failed bankruptcy 2020 overexpansion quality issues. lesson quality over growth. causes: giants, competition, execution_flaws"
ContextLogic,Retail Trade,13 (2010-2023),$1.8B,"company contextlogic. sector retail trade. what they did discount ecommerce app wish. why they failed faded 2023 lowquality goods lost to amazon. lesson cheap doesnt last. causes: giants, competition, trend_shifts, toxicity/trust_issues"
Crate,Retail Trade,4 (2014-2018),$4M,"company crate. sector retail trade. what they did online furniture rental service. why they failed shut down 2018 soft demand high logistics costs. lesson niche needs a hook. causes: no_budget, poor_market_fit, niche_limits"
Din,Retail Trade,3 (2013-2016),$3M,"company din. sector retail trade. what they did curated online grocery platform. why they failed closed 2016 local limits lost to instacart. lesson local limits growth. causes: giants, no_budget, competition, niche_limits"
Dot & Bo,Retail Trade,5 (2013-2018),$20M,"company dot bo. sector retail trade. what they did online home decor retailer. why they failed shut down 2018 overexpansion lost to wayfair. lesson cash burn kills curation. causes: giants, competition, execution_flaws"
Drizly,Retail Trade,11 (2012-2023),$120M,"company drizly. sector retail trade. what they did alcohol delivery app. why they failed sold 2021 faded 2023 uber struggled with regs. lesson regs and giants choke. causes: giants, competition, acquisition_stagnation, regulatory_pressure"
Drync,Retail Trade,7 (2012-2019),$7M,"company drync. sector retail trade. what they did wine ecommerce and discovery app. why they failed closed 2019 lost to wine.com low margins. lesson niche needs volume. causes: competition, monetization_failure, niche_limits"
Ecomom,Retail Trade,4 (2009-2013),$12M,"company ecomom. sector retail trade. what they did ecofriendly baby products ecommerce. why they failed shut down 2013 mismanagement lost to amazon. lesson execution beats ethos. causes: giants, no_budget, execution_flaws, toxicity/trust_issues"
ElectricObjects,Retail Trade,6 (2014-2020),$6M,"company electricobjects. sector retail trade. what they did digital art screens retailer. why they failed closed 2020 niche demand lost to tvs. lesson hardwares a gamble. causes: giants, no_budget, poor_market_fit, niche_limits"
Fab.com,Retail Trade,7 (2011-2018),$336M,"company fab.com. sector retail trade. what they did flashsale design retailer. why they failed sold 2018 overexpansion lost to amazon. lesson growth needs profit. causes: giants, competition, execution_flaws, overhype"
Fancy,Retail Trade,9 (2010-2019),$80M,"company fancy. sector retail trade. what they did social ecommerce platform. why they failed faded 2019 low conversion lost to amazon. lesson curation needs cash flow. causes: giants, monetization_failure"
Fashism,Retail Trade,5 (2009-2014),$5M,"company fashism. sector retail trade. what they did fashion advice app. why they failed closed 2014 low engagement lost to instagram. lesson social needs stickiness. causes: giants, poor_market_fit, niche_limits"
Fiksu,Retail Trade,10 (2008-2018),$17M,"company fiksu. sector retail trade. what they did mobile marketing for retail apps. why they failed faded 2018 lost to googlefacebook ads. lesson giants own ads. causes: giants, no_budget, monetization_failure"
Fobo,Retail Trade,4 (2013-2017),$2M,"company fobo. sector retail trade. what they did local food surplus marketplace. why they failed closed 2017 low adoption lost to doordash. lesson supply needs demand. causes: giants, competition, poor_market_fit"
Gilt Taste,Retail Trade,5 (2011-2016),$250M (Gilt),"company gilt taste. sector retail trade. what they did gourmet food ecommerce. why they failed shut down 2016 high costs sold off. lesson luxury needs volume. causes: acquisition_stagnation, monetization_failure, niche_limits"
Goldbely,Retail Trade,7 (2012-2019),$33M,"company goldbely. sector retail trade. what they did gourmet food delivery service. why they failed sold 2019 shipping costs lost to doordash. lesson logistics eat profits. causes: giants, competition, monetization_failure"
Good Eggs,Retail Trade,11 (2011-2022),$200M,"company good eggs. sector retail trade. what they did online grocery delivery. why they failed scaled back 2022 high costs lost to amazon fresh. lesson freshness costs. causes: giants, competition, execution_flaws"
Graze,Retail Trade,11 (2008-2019),$10M,"company graze. sector retail trade. what they did snack subscription box. why they failed sold 2019 faded 2020 lost to amazon. lesson subscriptions need stickiness. causes: giants, acquisition_stagnation"
Groupon Now,Retail Trade,4 (2011-2015),$950M (Groupon),"company groupon now. sector retail trade. what they did realtime deal app. why they failed phased out 2015 low need lost to yelp. lesson timing trumps deals. causes: giants, competition, trend_shifts"
Havenly,Retail Trade,9 (2014-2023),$85M,"company havenly. sector retail trade. what they did online interior design service. why they failed startup phase shut down 2023 lost to wayfair. lesson scale beats service. causes: giants, competition"
Heyday,Retail Trade,5 (2018-2023),$25M,"company heyday. sector retail trade. what they did skincare ecommerce and spas. why they failed closed 2023 lost to sephora high costs. lesson personalizations pricey. causes: giants, competition, execution_flaws"
HobbyDB,Retail Trade,8 (2014-2022),$8M,"company hobbydb. sector retail trade. what they did collectibles marketplace. why they failed faded 2022 too niche lost to ebay. lesson niche needs traffic. causes: giants, niche_limits"
Homejoy,Retail Trade,4 (2012-2016),$40M,"company homejoy. sector retail trade. what they did ondemand cleaning service. why they failed shut down 2016 legal issues lost to handy. lesson service needs trust. causes: competition, execution_flaws, toxicity/trust_issues, regulatory_pressure"
Hush,Retail Trade,4 (2016-2020),$5M,"company hush. sector retail trade. what they did sleep products ecommerce. why they failed closed 2020 lost to casper low scale. lesson niche needs edge. causes: competition, niche_limits"
Ibotta,Retail Trade,11 (2011-2022),$13M,company ibotta. sector retail trade. what they did cashback rewards app. why they failed faded 2022 lost to rakuten low retailer uptake. lesson loyalty needs scale. causes: competition
Imercive,Retail Trade,5 (2010-2015),$2M,"company imercive. sector retail trade. what they did interactive shopping platform. why they failed closed 2015 lost to amazon low adoption. lesson innovation needs buyers. causes: giants, no_budget, poor_market_fit"
Incredibowl,Retail Trade,5 (2010-2015),$1M,"company incredibowl. sector retail trade. what they did smoking accessories ecommerce. why they failed closed 2015 lost to amazon niche limits. lesson niche needs volume. causes: giants, niche_limits"
Ipsy,Retail Trade,12 (2011-2023),$100M,"company ipsy. sector retail trade. what they did beauty subscription box. why they failed faded 2023 lost to sephora saturated market. lesson subscriptions saturate. causes: giants, competition"
Ista,Retail Trade,5 (2013-2018),$3M,"company ista. sector retail trade. what they did fashion rental marketplace. why they failed closed 2018 lost to rent the runway low demand. lesson rentals need pull. causes: competition, poor_market_fit"
JustFab,Retail Trade,12 (2010-2022),$76M,"company justfab. sector retail trade. what they did fashion subscription service. why they failed faded 2022 billing complaints lost to nordstrom. lesson trust trumps trends. causes: giants, competition, toxicity/trust_issues"
Karma,Retail Trade,6 (2012-2018),$5M,"company karma. sector retail trade. what they did mobile deals marketplace. why they failed closed 2018 lost to groupon low scale. lesson deals need reach. causes: competition, niche_limits"
Kozmo.com,Retail Trade,4 (1998-2002),$110M,"company kozmo.com. sector retail trade. what they did urban free delivery service. why they failed closed 2002 free delivery killed margins dotcom bust. lesson frees a trap. causes: giants, no_budget, monetization_failure, trend_shifts, overhype"
Lot18,Retail Trade,8 (2010-2018),$10M,"company lot18. sector retail trade. what they did wine flashsale site. why they failed faded 2018 lost to wine.com low margins. lesson niche needs profit. causes: competition, monetization_failure, niche_limits"
Markafoni,Retail Trade,10 (2008-2018),$15M,"company markafoni. sector retail trade. what they did fashion ecommerce in turkey. why they failed closed 2018 lost to local rivals high costs. lesson local giants win. causes: competition, execution_flaws"
Massdrop,Retail Trade,10 (2012-2022),$20M,"company massdrop. sector retail trade. what they did groupbuy electronics retailer. why they failed faded 2022 lost to amazon niche limits. lesson niche caps growth. causes: giants, niche_limits"
Mayvenn,Retail Trade,9 (2013-2022),$40M,"company mayvenn. sector retail trade. what they did hair extension ecommerce. why they failed faded 2022 lost to amazon high costs. lesson niche needs scale. causes: giants, niche_limits, execution_flaws"
Memebox,Retail Trade,9 (2012-2021),$60M,"company memebox. sector retail trade. what they did korean beauty subscription. why they failed faded 2021 lost to sephora saturated market. lesson beauty saturates. causes: giants, competition"
ModCloth,Retail Trade,15 (2002-2017),$80M,"company modcloth. sector retail trade. what they did indie fashion ecommerce. why they failed sold 2017 faded 2020 walmart diluted it. lesson identity matters. causes: giants, acquisition_stagnation, execution_flaws"
MoveLoot,Retail Trade,4 (2013-2017),$22M,"company moveloot. sector retail trade. what they did used furniture marketplace. why they failed closed 2017 logistics costs lost to ebay. lesson logistics sink niches. causes: giants, no_budget, monetization_failure, niche_limits"
Nasty Gal,Retail Trade,11 (2006-2017),$160M,"company nasty gal. sector retail trade. what they did fastfashion ecommerce. why they failed bankruptcy 2017 mismanagement lost to asos. lesson growth needs control. causes: competition, execution_flaws, toxicity/trust_issues"
One Kings Lane,Retail Trade,10 (2009-2019),$225M,"company one kings lane. sector retail trade. what they did home decor ecommerce. why they failed sold 2019 lost to wayfair high costs. lesson scale beats decor. causes: giants, competition, execution_flaws"
Operator,Retail Trade,5 (2015-2020),$10M,"company operator. sector retail trade. what they did ai shopping assistant app. why they failed closed 2020 lost to amazon low adoption. lesson ai needs buyers. causes: giants, poor_market_fit"
Outdoor Voices,Retail Trade,9 (2013-2022),$75M,"company outdoor voices. sector retail trade. what they did activewear ecommerce. why they failed faded 2022 lost to lululemon overexpansion. lesson fashion needs edge. causes: competition, execution_flaws"
Peerby,Retail Trade,9 (2012-2021),$5M,"company peerby. sector retail trade. what they did peertopeer rental marketplace. why they failed faded 2021 low uptake lost to ebay. lesson rentals need scale. causes: giants, poor_market_fit"
PetCube,Retail Trade,8 (2012-2020),$13M,"company petcube. sector retail trade. what they did pet tech ecommerce. why they failed faded 2020 lost to amazon niche limits. lesson niche caps tech. causes: giants, niche_limits"
Pets.com,Retail Trade,2 (1998-2000),$300M,"company pets.com. sector retail trade. what they did online pet supply retailer. why they failed shut down 2000 high shipping costs dotcom bust. lesson margins beat hype. causes: giants, no_budget, monetization_failure, trend_shifts, overhype"
Plum,Retail Trade,6 (2014-2020),$8M,"company plum. sector retail trade. what they did kids clothing subscription. why they failed closed 2020 lost to amazon low demand. lesson niche needs kids. causes: giants, poor_market_fit, niche_limits"
Plum District,Retail Trade,7 (2010-2017),$10M,"company plum district. sector retail trade. what they did momfocused deal site. why they failed faded 2017 lost to groupon deal fatigue. lesson deals fade fast. causes: competition, trend_shifts"
PopSugar Shop,Retail Trade,6 (2015-2021),$15M,"company popsugar shop. sector retail trade. what they did lifestyle ecommerce. why they failed faded 2021 lost to amazon low scale. lesson lifestyle needs reach. causes: giants, niche_limits"
Poshmark UK,Retail Trade,8 (2012-2020),$70M (Poshmark),company poshmark uk. sector retail trade. what they did uk fashion resale marketplace. why they failed faded 2020 lost to depop low uk traction. lesson resale needs local. causes: competition
Quirky,Retail Trade,10 (2009-2019),$79M,"company quirky. sector retail trade. what they did crowdsourced product retailer. why they failed bankruptcy 2019 high costs lost to amazon. lesson crowds dont profit. causes: giants, execution_flaws, trend_shifts, overhype"
Raise,Retail Trade,9 (2013-2022),$60M,"company raise. sector retail trade. what they did gift card marketplace. why they failed faded 2022 lost to amazon low margins. lesson gift cards need scale. causes: giants, monetization_failure"
Rent the Runway UK,Retail Trade,6 (2015-2021),$500M (RtR),"company rent the runway uk. sector retail trade. what they did uk fashion rental service. why they failed faded 2021 lost to local rivals low demand. lesson rentals need fit. causes: competition, poor_market_fit"
RetailMeNot UK,Retail Trade,8 (2012-2020),$300M (RetailMeNot),"company retailmenot uk. sector retail trade. what they did uk coupon platform. why they failed faded 2020 lost to local sites deal fatigue. lesson coupons fade too. causes: competition, trend_shifts"
Sampling Lab,Retail Trade,4 (2013-2017),$2M,"company sampling lab. sector retail trade. what they did sample product marketplace. why they failed closed 2017 lost to amazon low scale. lesson samples need reach. causes: giants, niche_limits"
Selltag,Retail Trade,3 (2013-2016),$1M,"company selltag. sector retail trade. what they did social selling app. why they failed closed 2016 lost to ebay low uptake. lesson social needs buyers. causes: giants, poor_market_fit"
ShopKeep,Retail Trade,12 (2008-2020),$35M,company shopkeep. sector retail trade. what they did pos for small retailers. why they failed faded 2020 lost to square low scale. lesson pos needs giants. causes: competition
Shopkick,Retail Trade,11 (2009-2020),$15M,"company shopkick. sector retail trade. what they did retail rewards app. why they failed faded 2020 sold to trax lost to amazon. lesson loyalty needs giants. causes: giants, no_budget, acquisition_stagnation, platform_dependency"
Shoptiques,Retail Trade,8 (2012-2020),$10M,"company shoptiques. sector retail trade. what they did boutique ecommerce aggregator. why they failed faded 2020 lost to etsy low scale. lesson boutiques need reach. causes: giants, niche_limits"
Slice,Retail Trade,11 (2010-2021),$15M,"company slice. sector retail trade. what they did shopping tracker app. why they failed faded 2021 lost to amazon low adoption. lesson tracking needs pull. causes: giants, poor_market_fit"
Spring,Retail Trade,6 (2013-2019),$65M,"company spring. sector retail trade. what they did fashion marketplace app. why they failed faded 2019 lost to amazon high costs. lesson fashion needs scale. causes: giants, execution_flaws"
Teespring,Retail Trade,10 (2011-2021),$55M,"company teespring. sector retail trade. what they did custom apparel platform. why they failed faded 2021 lost to amazon low margins. lesson custom needs profit. causes: giants, monetization_failure"
ThredUp Goody,Retail Trade,5 (2018-2023),$300M (ThredUp),"company thredup goody. sector retail trade. what they did resale clothing subscription. why they failed faded 2023 lost to thredup core low demand. lesson resale needs core. causes: competition, poor_market_fit"
ThriftBooks Indie,Retail Trade,5 (2015-2020),$5M,"company thriftbooks indie. sector retail trade. what they did indie used book marketplace. why they failed faded 2020 lost to amazon low scale. lesson books need giants. causes: giants, niche_limits"
Thrillist Rewards,Retail Trade,5 (2013-2018),$10M,"company thrillist rewards. sector retail trade. what they did lifestyle rewards program. why they failed faded 2018 lost to amazon low uptake. lesson rewards need pull. causes: giants, poor_market_fit"
Thrive Market Organic,Retail Trade,5 (2018-2023),$150M (Thrive),"company thrive market organic. sector retail trade. what they did organic food subscription. why they failed faded 2023 lost to whole foods high costs. lesson organic needs scale. causes: giants, competition, execution_flaws"
ToVieFor,Retail Trade,5 (2010-2015),$2M,"company toviefor. sector retail trade. what they did fashion deal site. why they failed closed 2015 lost to gilt deal fatigue. lesson deals tire out. causes: competition, trend_shifts"
Tradesy,Retail Trade,9 (2012-2021),$75M,"company tradesy. sector retail trade. what they did luxury resale marketplace. why they failed faded 2021 lost to the realreal low scale. lesson luxury needs reach. causes: competition, niche_limits"
Trunk Club,Retail Trade,9 (2010-2019),$17M,"company trunk club. sector retail trade. what they did personal styling service. why they failed shut down 2019 nordstrom flopped lost to stitch fix. lesson curation needs scale. causes: giants, competition, acquisition_stagnation"
Try.com,Retail Trade,4 (2018-2022),$10M,"company try.com. sector retail trade. what they did trybeforeyoubuy fashion. why they failed faded 2022 lost to amazon wardrobe low adoption. lesson try needs buyers. causes: giants, poor_market_fit"
Webvan,Retail Trade,3 (1996-1999),$122M,"company webvan. sector retail trade. what they did online grocery delivery. why they failed shut down 1999 overspent on warehouses dotcom bust. lesson scale needs demand. causes: giants, no_budget, monetization_failure, execution_flaws, trend_shifts, overhype"
Wittlebee,Retail Trade,3 (2012-2015),$3M,"company wittlebee. sector retail trade. what they did kids clothing subscription. why they failed closed 2015 lost to amazon low demand. lesson kids need scale. causes: giants, poor_market_fit, niche_limits"
Woot,Retail Trade,12 (2004-2016),$5M,"company woot. sector retail trade. what they did daily deal site. why they failed sold 2010 faded 2016 lost to amazon deal fatigue. lesson deals lose steam. causes: giants, acquisition_stagnation, trend_shifts"
Yelp Deals,Retail Trade,8 (2011-2019),$500M (Yelp),"company yelp deals. sector retail trade. what they did local deal platform. why they failed faded 2019 lost to groupon deal fatigue. lesson deals fade out. causes: competition, trend_shifts"
Zaarly,Retail Trade,6 (2011-2017),$15M,"company zaarly. sector retail trade. what they did local service marketplace. why they failed faded 2017 lost to taskrabbit low scale. lesson services need reach. causes: competition, niche_limits"
Zappos Labs,Retail Trade,5 (2013-2018),$1.5B (Zappos),company zappos labs. sector retail trade. what they did experimental retail projects. why they failed faded 2018 lost to amazon core low impact. lesson experiments need wins. causes: giants
Zappos Local,Retail Trade,5 (2015-2020),$1.5B (Zappos),"company zappos local. sector retail trade. what they did local shopping platform. why they failed faded 2020 lost to amazon low uptake. lesson local needs pull. causes: giants, poor_market_fit"
Zing,Retail Trade,5 (2013-2018),$3M,"company zing. sector retail trade. what they did niche gadget retailer. why they failed closed 2018 lost to amazon low scale. lesson gadgets need giants. causes: giants, niche_limits"
Zola Books,Retail Trade,6 (2013-2019),$10M,"company zola books. sector retail trade. what they did indie ebook retailer. why they failed faded 2019 lost to amazon low demand. lesson books need scale. causes: giants, niche_limits"
Airy Labs,Information,2 (2010-2012),$1.5M,"company airy labs. sector information. what they did educational mobile games for kids. why they failed shut down in 2012 after chaotic sprint too many games no focus cash ran out. lesson focus beats frenzy. causes: giants, no_budget, execution_flaws"
Ask Jeeves,Information,11 (1996-2007),$20M,company ask jeeves. sector information. what they did early search engine with butler mascot. why they failed faded by 2007 lost to googles algorithm and ad model sold off. lesson innovation isnt enough. causes: giants
Bebo,Information,14 (2005-2019),$12.8M,"company bebo. sector information. what they did social networking site popular in uk. why they failed shut down in 2019 lost to facebook aol mismanagement sold cheap. lesson network effects can crush. causes: giants, execution_flaws"
Burbn,Information,2 (2010-2012),$0.5M,company burbn. sector information. what they did checkin app with photosharing. why they failed closed in 2012 but pivoted to instagram too cluttered users didnt care. lesson pivots can save. causes: poor_market_fit
Canvas,Information,6 (2011-2017),$9M,"company canvas. sector information. what they did collaborative document editing platform. why they failed shut down in 2017 lost to google docs dropbox paper no differentiation. lesson stand out or drown. causes: giants, competition"
Change.org,Information,15 (2007-2022),$50M,company change.org. sector information. what they did petition platform for activism. why they failed startup phase shut down 2022 monetization alienated users growth slowed. lesson mission drift costs. causes: monetization_failure
Chirp,Information,5 (2011-2016),$1.8M,"company chirp. sector information. what they did app to share data via sound. why they failed closed in 2016 niche no real problem solved adoption lagged. lesson cool doesnt equal useful. causes: poor_market_fit, niche_limits"
Cloudera,Information,15 (2008-2023),$300M,"company cloudera. sector information. what they did big data analytics platform. why they failed wound down 2023 lost to aws google bigquery went private. lesson giants eat niches. causes: giants, competition"
Cocoon,Information,4 (2018-2022),$3M,"company cocoon. sector information. what they did privacyfocused browser. why they failed shut down 2022 lost to vpns chrome trust waned. lesson trust is currency. causes: giants, competition, toxicity/trust_issues"
Codeacademy,Information,11 (2011-2022),$42.5M,"company codeacademy. sector information. what they did online coding lessons. why they failed acquired 2021 closed 2022 free tiers didnt convert lost to coursera. lesson freemiums a gamble. causes: competition, acquisition_stagnation, monetization_failure"
CollabFinder,Information,7 (2011-2018),$0.75M,"company collabfinder. sector information. what they did matchmaking for project collaborators. why they failed shut down 2018 too niche lost to github linkedin. lesson networks need mass. causes: giants, no_budget, competition, niche_limits"
Color Labs,Information,3 (2011-2014),$41M,"company color labs. sector information. what they did photosharing by location. why they failed closed 2014 confused users lost to instagram apple absorbed. lesson hype cant save fit. causes: giants, competition, poor_market_fit, acquisition_stagnation, overhype"
Connect,Information,6 (2010-2016),$10M,"company connect. sector information. what they did social networking via facebook. why they failed shut down 2016 lost to facebooks own features privacy issues. lesson dont bet on turf. causes: giants, platform_dependency, toxicity/trust_issues"
Coub,Information,9 (2012-2021),$1M,"company coub. sector information. what they did short looping video app. why they failed closed 2021 couldnt monetize lost to tiktok. lesson timing and scale brutal. causes: giants, competition, monetization_failure, trend_shifts"
Domo,Information,13 (2010-2023),$690M,"company domo. sector information. what they did business intelligence dashboards. why they failed scaled back 2023 lost to tableau power bi high costs. lesson big bets need wins. causes: giants, competition"
Digg,Information,14 (2004-2018),$45M,"company digg. sector information. what they did social news aggregator. why they failed faded 2018 redesign tanked lost to reddit sold cheap. lesson user loyalty fragile. causes: competition, execution_flaws"
Drifty,Information,7 (2012-2019),$4.2M,"company drifty. sector information. what they did ionic mobile app framework. why they failed closed 2019 opensource didnt monetize lost to react native. lesson free doesnt pay. causes: competition, monetization_failure"
Dropbox Paper,Information,6 (2015-2021),$1.7B (Dropbox),"company dropbox paper. sector information. what they did collaborative doc tool. why they failed shut down 2021 lost to google docs notion. lesson stick to strengths. causes: giants, competition"
Evernote,Information,15 (2004-2019),$290M,"company evernote. sector information. what they did notetaking app. why they failed declined 2019 bloated features lost to onenote. lesson simplicity beats bloat. causes: giants, competition, acquisition_stagnation, execution_flaws"
Exec,Information,3 (2012-2015),$3.3M,"company exec. sector information. what they did ondemand personal assistants. why they failed shut down 2015 thin margins lost to taskrabbit. lesson margins matter. causes: no_budget, competition"
EyeEm,Information,12 (2011-2023),$24M,"company eyeem. sector information. what they did photosharing and stock platform. why they failed shut down 2023 lost to getty unsplash. lesson scale beats niche. causes: giants, competition"
Factual,Information,14 (2008-2022),$104M,"company factual. sector information. what they did location data platform. why they failed closed 2022 merged into foursquare lost to google maps. lesson datas only gold if sold. causes: giants, competition, acquisition_stagnation"
Formspring,Information,7 (2009-2016),$14M,"company formspring. sector information. what they did anonymous qa social app. why they failed shut down 2016 bullying scared users lost to facebook. lesson toxicitys a sword. causes: giants, toxicity/trust_issues"
Foursquare Swarm,Information,7 (2014-2021),$162M (Foursquare),"company foursquare swarm. sector information. what they did checkin app with badges. why they failed ended 2021 checkins faded lost to instagram. lesson trends fade fast. causes: giants, competition, trend_shifts"
Friendster,Information,12 (2002-2014),$48.5M,"company friendster. sector information. what they did early social network. why they failed faded 2014 slow servers lost to facebook. lesson speed and ux trump. causes: giants, competition, execution_flaws"
GeoCities,Information,11 (1994-2005),$0 (Yahoo $3.6B),"company geocities. sector information. what they did web hosting for personal pages. why they failed shut down 2005 yahoo neglect lost to blogs. lesson adapt or atrophy. causes: giants, acquisition_stagnation, trend_shifts"
